,DateTime,WindSpeed,PowerGenerated
203,2017-01-03 02:45:00,8.263,35520
204,2017-01-03 03:00:00,8.34651,37360
205,2017-01-03 03:15:00,8.430019999999999,39520
206,2017-01-03 03:30:00,8.513539999999999,41520
207,2017-01-03 03:45:00,8.47392,40560
208,2017-01-03 04:00:00,8.43431,38080
209,2017-01-03 04:15:00,8.3947,37120
210,2017-01-03 04:30:00,8.355080000000001,41840
211,2017-01-03 04:45:00,8.30045,51760
212,2017-01-03 05:00:00,8.24582,63200
213,2017-01-03 05:15:00,8.191189999999999,65680
214,2017-01-03 05:30:00,8.13655,61120
215,2017-01-03 05:45:00,8.15095,57840
216,2017-01-03 06:00:00,8.16535,55760
217,2017-01-03 06:15:00,8.179739999999999,56880
218,2017-01-03 06:30:00,8.194139999999999,58240
219,2017-01-03 06:45:00,8.2314,62720
220,2017-01-03 07:00:00,8.26867,59840
221,2017-01-03 07:15:00,8.30593,57600
222,2017-01-03 07:30:00,8.3432,59520
223,2017-01-03 07:45:00,7.8971100000000005,60400
224,2017-01-03 08:00:00,7.45103,64640
225,2017-01-03 08:15:00,7.00495,68960
226,2017-01-03 08:30:00,6.55887,71120
227,2017-01-03 08:45:00,6.622910000000001,72240
228,2017-01-03 09:00:00,6.68695,64240
229,2017-01-03 09:15:00,6.75099,50960
230,2017-01-03 09:30:00,6.81504,41920
231,2017-01-03 09:45:00,7.02718,38000
232,2017-01-03 10:00:00,7.239319999999999,37600
233,2017-01-03 10:15:00,7.451460000000001,34880
234,2017-01-03 10:30:00,7.6636,33920
235,2017-01-03 10:45:00,7.64491,34960
236,2017-01-03 11:00:00,7.6262300000000005,35200
237,2017-01-03 11:15:00,7.607539999999999,37200
238,2017-01-03 11:30:00,7.58885,37760
239,2017-01-03 11:45:00,7.47612,37200
240,2017-01-03 12:00:00,7.36338,35120
241,2017-01-03 12:15:00,7.25065,32720
242,2017-01-03 12:30:00,7.137910000000001,31280
243,2017-01-03 12:45:00,7.0935,28240
244,2017-01-03 13:00:00,7.04908,26160
245,2017-01-03 13:15:00,7.00467,24560
246,2017-01-03 13:30:00,6.96025,23360
247,2017-01-03 13:45:00,6.91091,21440
248,2017-01-03 14:00:00,6.86158,20560
249,2017-01-03 14:15:00,6.812239999999999,20080
250,2017-01-03 14:30:00,6.7629,18080
251,2017-01-03 14:45:00,6.723889999999999,15680
252,2017-01-03 15:00:00,6.68487,14080
253,2017-01-03 15:15:00,6.645860000000001,11600
254,2017-01-03 15:30:00,6.60685,11280
255,2017-01-03 15:45:00,6.45289,10000
256,2017-01-03 16:00:00,6.29893,8320
257,2017-01-03 16:15:00,6.14497,8800
258,2017-01-03 16:30:00,5.99101,9680
259,2017-01-03 16:45:00,5.80849,9360
260,2017-01-03 17:00:00,5.62596,9920
261,2017-01-03 17:15:00,5.44344,8400
262,2017-01-03 17:30:00,5.26092,7680
263,2017-01-03 17:45:00,5.31101,7120
264,2017-01-03 18:00:00,5.36111,6880
265,2017-01-03 18:15:00,5.41121,6400
266,2017-01-03 18:30:00,5.46131,6800
267,2017-01-03 18:45:00,5.26127,7520
268,2017-01-03 19:00:00,5.06122,6800
269,2017-01-03 19:15:00,4.86118,5760
270,2017-01-03 19:30:00,4.6611400000000005,5280
271,2017-01-03 19:45:00,4.29685,4720
272,2017-01-03 20:00:00,3.93256,4560
273,2017-01-03 20:15:00,3.56826,6400
274,2017-01-03 20:30:00,3.20397,7520
275,2017-01-03 20:45:00,3.37305,9120
276,2017-01-03 21:00:00,3.5421300000000002,11360
277,2017-01-03 21:15:00,3.7112,14080
278,2017-01-03 21:30:00,3.8802800000000004,13600
279,2017-01-03 21:45:00,3.92591,12080
280,2017-01-03 22:00:00,3.97154,9920
281,2017-01-03 22:15:00,4.01717,6240
282,2017-01-03 22:30:00,4.0628,1680
283,2017-01-03 22:45:00,4.0729,0
284,2017-01-03 23:00:00,4.082990000000001,0
285,2017-01-03 23:15:00,4.09309,0
286,2017-01-03 23:30:00,4.10318,0
287,2017-01-03 23:45:00,4.07768,0
288,2017-01-04 00:00:00,5.59692,0
289,2017-01-04 00:15:00,6.06688,0
290,2017-01-04 00:30:00,6.53684,800
291,2017-01-04 00:45:00,6.85456,2880
292,2017-01-04 01:00:00,7.172289999999999,6160
